OID_,ELEMENT,SUBELEMENT,NAME,Scientific_name,SF,NHP,DATE_PUB,CONC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC_,SEASSUM,Spawning,Eggs,Larvae,Juveniles,Adults,RARNUM,BREED
611,FISH,Freshwater Fish,Yellow perch,Perca flavescens, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000102,5200056
612,FISH,Diadromous Fish,Alewife,Alosa pseudoharengus, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,APR-JUN,MAY-DEC,MAR-JUL,52000103,5200022
613,FISH,Diadromous Fish,American eel,Anguilla rostrata, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000103,5200034
614,FISH,Diadromous Fish,American shad,Alosa sapidissima, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000103,5200028
615,FISH,Diadromous Fish,Atlantic sturgeon,Acipenser oxyrinchus,Federal Species of Special Concern,G3,200412,-, , , ,X,X,X,X,X,X,X, , ,Apr-Oct,-,-,MAY-AUG,-,APR-OCT,52000103,5200043
616,FISH,Marine Benthic Fish,Atlantic tomcod,Microgadus tomcod, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,JAN-APR,MAY-AUG,JAN-DEC,52000103,5200035
617,FISH,Estuarine Nursery Fish,Bay anchovy,Anchoa mitchilli, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAY-SEP,MAY-SEP,JUN-SEP,AUG-OCT,JAN-DEC,52000103,5200048
618,FISH,Diadromous Fish,Blueback herring,Alosa aestivalis, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000103,5200025
619,FISH,Estuarine Nursery Fish,Bluefish,Pomatomus saltatrix, , ,0,-, , , , , ,X,X,X,X,X, , ,Jun-Oct,-,-,-,JUN-OCT,-,52000103,5200018
620,FISH,Freshwater Fish,Bluegill,Lepomis macrochirus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200069
621,FISH,Freshwater Fish,Brown bullhead,Ameiurus nebulosus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200074
622,FISH,Freshwater Fish,Channel catfish,Ictalurus punctatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200072
623,FISH,Freshwater Fish,Common carp,Cyprinus carpio, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200058
624,FISH,Estuarine Resident,Fourspine stickleback,Apeltes quadracus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000103,5200032
625,FISH,Marine Benthic Fish,Gobies, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200092
626,FISH,Freshwater Fish,Golden shiner,Notemigonus crysoleucas, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200079
627,FISH,Estuarine Nursery Fish,Hogchoker,Trinectes maculatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-OCT,JAN-DEC,NOV-APR,52000103,5200082
628,FISH,Estuarine Resident,Killifish,Fundulus spp., , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000103,5200076
629,FISH,Freshwater Fish,Largemouth bass,Micropterus salmoides, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200063
630,FISH,Freshwater Fish,Pumpkinseed,Lepomis gibbosus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,JUN-AUG,-,-,-,JAN-DEC,52000103,5200075
631,FISH,Freshwater Fish,Rainbow smelt,Osmerus mordax, ,G5,200412,RARE,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,OCT-APR,52000103,5200019
632,FISH,Diadromous Fish,Shortnose sturgeon,Acipenser brevirostrum,State/Federal Endangered List,G3,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-AUG,MAY-AUG,JAN-DEC,52000103,5200039
633,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200077
634,FISH,Freshwater Fish,Smallmouth bass,Micropterus dolomieu, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200066
635,FISH,Freshwater Fish,Spottail shiner,Notropis hudsonius, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200060
636,FISH,Diadromous Fish,Striped bass,Morone saxatilis, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,APR-JUN,APR-JUN,APR-JUN,JAN-DEC,MAR-NOV,52000103,5200045
637,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000103,5200031
638,FISH,Freshwater Fish,Walleye,Stizostedion vitreum vitreum, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200071
639,FISH,Freshwater Fish,White catfish,Ameiurus catus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200085
640,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,MAY-JUL,JAN-DEC,JAN-DEC,52000103,5200054
641,FISH,Freshwater Fish,Yellow perch,Perca flavescens, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000103,5200056
642,FISH,Diadromous Fish,Alewife,Alosa pseudoharengus, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,APR-JUN,MAY-DEC,MAR-JUL,52000104,5200022
643,FISH,Diadromous Fish,American eel,Anguilla rostrata, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000104,5200034
644,FISH,Diadromous Fish,American shad,Alosa sapidissima, ,G5,200412,-, , ,X,X,X,X,X,X,X,X,X,X,Mar-Dec,-,-,-,MAY-DEC,MAR-JUL,52000104,5200028
645,FISH,Estuarine Nursery Fish,Atlantic menhaden,Brevoortia tyrannus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000104,5200049
646,FISH,Estuarine Resident,Silversides, , , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,-,JAN-DEC,52000110,5200077
647,FISH,Diadromous Fish,Striped bass,Morone saxatilis, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,APR-JUN,JAN-DEC,JAN-DEC,52000110,5200046
648,FISH,Estuarine Nursery Fish,Striped mullet,Mugil cephalus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000110,5200050
649,FISH,Estuarine Nursery Fish,Summer flounder,Paralichthys dentatus, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,-,MAY-AUG,52000110,5200047
650,FISH,Marine Benthic Fish,Tautog,Tautoga onitis, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000110,5200033
651,FISH,Estuarine Resident,Threespine stickleback,Gasterosteus aculeatus, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,MAR-MAY,-,-,-,JAN-DEC,52000110,5200031
652,FISH,Marine Pelagic Fish,Weakfish,Cynoscion squamipinnis, , ,0,-, , , , ,X,X,X,X,X,X, , ,May-Oct,MAY-JUL,-,-,JUL-OCT,MAY-JUL,52000110,5200086
653,FISH,Estuarine Nursery Fish,White mullet,Mugil curema, , ,0,-, , , , ,X,X,X,X, , , , ,May-Aug,-,-,-,MAY-AUG,MAY-AUG,52000110,5200061
654,FISH,Estuarine Nursery Fish,White perch,Morone americana, ,G5,200412,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,JAN-DEC,52000110,5200051
655,FISH,Estuarine Nursery Fish,Winter flounder,Pleuronectes americanus, , ,0,-,X,X,X,X,X,X,X,X,X,X,X,X,Jan-Dec,-,-,-,JAN-DEC,-,52000110,5200030
